ID,Medicine,Website,Source,Link,Review,Overall Rating,Effectiveness,Ease of use,Satisfaction,People upvoted,People downvoted,Date,Reviewer characteristics,Helps overall with kidney stones,Helps overall with gallstones,Says that has suffered from condition for a long time (>1 year),Someone who makes large amounts of stones (>10 total),Asserts significant reduction in pain on net,Provides detailed background,Works as a prophylactic,Mentions breaking of stones,Mentions shrinking of the stones,Mentions softening of stones,Mentions stone gravel/dust/dissolved,"Stone came out soon after taking it (3 day window or ""a few days later"")",Deferences,Medical Personel Was Surprised or Skeptical,Significant (>50%) pain relief within 24 hours,Significant (>50%) pain relief within a week,Consumption Method,Dose,Stone characteristics,Provides contact info,Admits it sounds non-credible/identifies as a skeptic,Stone passed with no or almost no pain,Provides objective measurements,Comments,Promotes specific brand,Speaks for someone else,Side effects mentioned,Super high quality,Incredible accounts,Unexpected Positives,Length Filtered,Length (words),Classification method
106,Allopurinol Oral,WebMD,WebMD,https://www.webmd.com/drugs/drugreview-8610-allopurinol-oral?conditionid=2278,"Had 3 bouts with kidney stones and have now gone over a year with no symptoms or kidney stone attacks. I use it with Potassium Citrate and it has worked wonders. Also, a very inexpensive way to solve the problem. I get refills monthly for $4.",5.0,5,5,5,3,0,2009-04-10,35-44 | Male | On medication for 1 to less than 2 years,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,46,Manual
107,Allopurinol Oral,WebMD,WebMD,https://www.webmd.com/drugs/drugreview-8610-allopurinol-oral?conditionid=2278,"300mgs/dailey.I have more than the one condition listed. gout,uric kidney stones and high levels of uric acid in blood.The stones have been desolved and are gone for over 10 years now but kidneys hurt alot from time to time.Gout hasn't been as bad as to go back on crutches but still have attacks tho not near severe as 3 years ago. since i also take drugs for type 2 diabetes,high blood pressure and acid reflux, i wouldn't know which side affects would be from the allopurinal as i have many. stomach cramps,diarrea,kidney pain,nauseia,bleeding,frequent uration,swollen prostate. i stay away from red meat and all the bad things i've looked up to avoid and the doc says my levels are fine.but he says theres no cure for gout yet.just some relief.",3.7,4,4,3,5,0,2008-07-22,45-54 | Male | On medication for 5 to less than 10 years,1,,,,1,,1,,1,,1,,,,,,,300mg,,,,,,"""since i also take drugs for type 2 diabetes,high blood pressure and acid reflux, i wouldn't know which side affects would be from the allopurinal as i have many""",,,kidneys hurt a lot,,,,,129,Manual
108,Allopurinol Oral,WebMD,WebMD,https://www.webmd.com/drugs/drugreview-8610-allopurinol-oral?conditionid=2278,I ended up in the hospital after taking this for 3 weeks. It poisoned my whole system!,1.0,1,1,1,4,1,2008-05-23,55-64 | Female | On medication for less than 1 month,0,,,,,,,,,,,,,,,,,,,,,,,,,,Serious but unspecified side-effects after just three weeks,,,,,17,Manual
109,Allopurinol Oral,WebMD,WebMD,https://www.webmd.com/drugs/drugreview-8610-allopurinol-oral?conditionid=2278,Honestly can't evaluate this med now. Just started this medication on my 6yr old grandson for possible kidney stones on Sat. morning and now on Sunday he is violently throwing up. He has also taking another new medicine but that one was started on Thurs. and now this reaction. Now being the second day on this med has me worried and called his doc and stopped till I find out what's causing this. This is his third time throwing up in the last two hours. I don't know yet if it is this medication causing this reaction. He takes alot of other meds too. A visit to the ER is looking like a good option right now.,1.0,1,1,1,2,3,2008-03-02,Female | On medication for less than 1 month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,Manual
1685,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,Works for kidney and gallbladder stones. Had gallbladder attack and this helps with the pail right away. I take daily when I am having a crisis.,5.0,5,5,5,0,0,2024-07-14,35-44 | less than 1 month,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,Manual
1686,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,I have had liver health support with Chanca piedra from Nutraharmony for a week now. I am happy to find out Chanca piedra can prevent AND remove kidney stones. Sounds great.,4.0,4,4,4,1,0,2024-05-03,35-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,Manual
1687,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,"Incredible. I am a skeptic and a scientist by training, so naturally I don't believe something like this could work, but with so many positive reviews, I had to try it. Two weeks ago I started passing my 3rd stone ever. The first two came out after hours of pain years ago, but this one got stuck in my ureter for almost two weeks. I took chanca piedra (bought through Amazon from Eu Natural Store), 2 capsules, 1200mg, once a day. Within exactly 48 hours, my stone was out. The first day I noticed what looked like fresh blood clot materials (floating) coming out and maybe some bits of sand. The second day I had what looked like old blood clot materials (little black discs slowly sinking) coming out, sometimes bits of sand, and then finally the whole 4mm stone (sank like rock). I am incredibly impressed by this product and am so relieved to have it out. It's certainly worth a try if you're suffering from kidney stones. I'm going to keep taking it for a couple weeks and see if the other stones sitting in my kidneys come out.",5.0,5,5,5,1,0,2024-02-04,35-44 | less than 1 month,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,Manual
1688,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,2 episodes now where taking a combination of Tudca and Chanca Piedra halted the unbearable pain completely within 10 minutes. I took 1100 milligrams of Tudca along with 500 mg of CP. Rescues!,5.0,5,5,5,1,0,2023-11-28,55-64 | 1 to 6 months,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,Manual
1689,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,"I just started taking this to see if it will help me with gallstones. I don't know if it will yet. I will come back and report if it does. I was having kidney stone problem. It was caused from hyperparathyroidism. Body making to much calcium. I advise anyone making large amounts of kidney stones or even just one to have pth and calcium levels checked. I had a fluctuating calcium level so I was hard to diagnose. I used my gut feeling and went to Norman Parathyroid Center in Florida and sure enough I had a large tumor on my parathyroid. I had one parathyroid removed. A lot of doctors ignore a high calcium level or recheck and it's normal the next time so they think you don't have a problem when you do. The truth is it can be fluctuating and causing you to have a kidney stone problem. Have your calcium and pth checked a few times not just a couple and see where it is. If you are over 40 and your calcium level is over 10, you are having issues. Your calcium level for your age should be 9-9.5 never over 10. Quit suffering and take the bull by it's horns and take care of the main problem.",3.0,3,3,3,1,0,2023-11-18,45-54 | less than 1 month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,Manual
1690,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,"Re: Chanca Piedra Liquid Extract by HERB PHARMA, I continually produce Calcium Phospate Kidney Stones. Recent imaging showed an 8mm stone in left kidney and two 3mm Stones in right kidney. After exactly 14 days of taking approximately 800mg 3Ã per day, on morning of October 23rd, I collected a significant amount of sand like grit that when compacted to several millimeters of material. Only kidney imaging can confirm the Stones are gone or reduced in size. But I am very confident that Chanca Piedra is having a major effect on resolving my habitual kidney stone issues. I have had several kidney stone surgeries/stints et.al. I am hopeful that Chanca Piedra will resolve my stones without surgeries.",5.0,5,5,5,1,0,2023-10-23,65-74 | less than 1 month,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,Manual
1691,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,Within 3 days of starting Chanca Piedra 500mg three times daily - a fairly low dose and (along with starting a low calcium oxalate diet) my bleeding and pain went away from my kidney stone.   I was thrilled,5.0,5,5,5,1,0,2023-08-29,55-64 | less than 1 month,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Manual
1692,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,I used a product called StoneBeGone (didn't realize it was chanca piedra+) but that was the best thing I ever used. Took about 4 hours to reduce the pain and in 24 I didn't feel a thing. Pretty sure I passed my stone ( I think I had 2) in less than 2 days. Seriously can't say enough good about that stuff. 25 plus years of kidney issues ($$$$) all managed with a $20 of SBG .,4.7,5,4,5,1,0,2023-06-07,45-54 | 1 to less than 2 years,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,Manual
1693,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,"My wife took all of the kind of Chanca piedra (Pill, liquid and tea) now for 3 months for gallstones, but it did not work at all. I think chanca Piedra is not working at all for gallstone...",2.0,1,4,1,1,0,2023-05-12,55-64 | 1 to 6 months,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Manual
1694,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,Did not make any difference after 2 months of use,2.7,2,4,2,1,0,2023-02-18,35-44 | 1 to 6 months,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Manual
1695,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,These are amazing..cant recommend enough...the pain subsides within hours...no need for surgery or stents...truly believe in this product for kidney stones..pain or and even gout..as gout is associated pain of uric acid...the miracle pill for all sufferers..?????,5.0,5,5,5,1,0,2023-01-25,45-54 | 5 to less than 10 years,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,Manual
1696,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,I increase dosage from 1600mg to 3200 mg.  I took one pill in the morning and one before going to bed. I also took 0.04mg of flow max  for two weeks to expand the ureter walls. Result: The three stones in my left kidney as well as one blocking my left ureter came out as a reddish brown spot in my toilet. The time from start to reddish brown spot was about 1 and 1/2 weeks.,5.0,5,5,5,1,0,2022-12-07,65-74 | 1 to 6 months,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,Manual
1697,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,"Does nothing for the removal of gallstones,I recently had a scan & they are still there,as shown on the scan,so another waste of money,I don't how they can claim that it works or the reviews that I have seen are true or false.",2.3,1,5,1,1,0,2022-12-02,55-64 | 1 to less than 2 years,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,Manual
1698,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,"After reading about Chanca Piedra, my husband decided to give it a try. He had kidney stones over 10 years ago and started having similar painful attacks 2 days in a row, causing him to be out of work and home in bed.

After 48 hours of use and alot of prayer, the episodes were GONE. Praise God I count it a miracle!!

A bit of advice I read on another site was make sure you buy legitimate Chanca. Some online vendors might not be selling true product. We were able to buy the Chanca at a local health food store and the brand they had available was Whole World Botanicals (I paid for that product and am not being paid to mention that name). 400 mg capsules. 

The guy at the health food store mentioned the tea wouldn't be strong enough. I don't know if that's true, some ppl on these reviews said they used the tea with good results, but that was his opinion [and he had experience with stones]. Maybe it depends on the strength of it? The capsules we bought said ""2:1"".",5.0,5,5,5,1,0,2022-10-14,45-54 | less than 1 month,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,Manual
1699,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,This works very well and is natural and cheap - helped my wife get rid of a 6x8 mm stone!,5.0,5,5,5,1,0,2022-08-08,35-44 | less than 1 month,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Manual
1700,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,"I had kidney stones at 40 and it was the worst pain I could imagine I am now getting pains constantly and don't want a repeat!  I had an ultrasound confirming I have kidney stones in both kidneys.  
My daughter recommended I try Chanca Piedra as her friend used it and passed her stones easily. 
I have been taking one capsule a day for 5 days and will increase to two capsules today. I didn't wanted to be sure not to have a weird reaction but all seems well  
Today is the first day I have not had stabbing pains and the only thing different is this product. 
My next ultrasound is In a week and I am hoping to hear of reduced size or if I am lucky, that they are gone!",5.0,5,5,5,1,0,2022-07-20,55-64 | less than 1 month,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,Manual
1701,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,"I had one big sharp kidney stone,so painful and refuse to go out but after taking chanca piedra pills it started to move out and one month later it was out completely,I am so grateful for this medication",5.0,5,5,5,1,0,2022-07-07,35-44 | 1 to 6 months,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Manual
1702,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,"I purchased this mainly for gallstones,I know I have small stones as they were seen on a scan,this may be good for kidney stones,but overall I have not seen any improvements or noticed any stones. My gallbladder issues have not changed,I was hoping it would work,but can see me ending up having my gallbladder removed.it was worth a try,but for me there is not enough reviews for this to work for gallstones.I think it is overated.if it was that good,nobody would need to have their gallbladder removed.",2.3,1,5,1,1,0,2022-05-29,55-64 | 1 to 6 months,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,Manual
1703,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,I have a staghorn kidney stone in the right kidney. I started taking chance piedra when the stone was 7 cm I had X-rays today and the sone is 1.3 cm. I am extremely pleased ???? I will continue taking it till stone is gone and kidney is clear,5.0,5,5,5,1,0,2022-05-26,55-64 | 6 months to less than 1 year,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,Manual
1704,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,"I had a 7x3x4mm stone, and the urologist said there was no way I could pass it on my own. I kind of stumbled onto chanca piedra while researching kidney stones, so I ordered capsules. After about a week of taking them, I was surprised to pass the stone, along with another smaller oneâcompletely pain free! I continue to take it, along with ACV, and I've had no more pain.",5.0,5,5,5,1,0,2022-05-26,45-54 | 1 to 6 months,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,Manual
1705,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,The supplement is amazing. Complete dissolved half a dozen stones. Urine turned completely colorless in about 10 days.,5.0,5,5,5,1,0,2022-01-06,75 or over | 2 to less than 5 years,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Manual
1706,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,"I have had kidney stones for over 30 years.  I've had multiple surgeries.  My urologist calls me a stone farmer because I have them so often.  Mine is the result of inverted horseshoe kidneys which cause my kidneys not to drain.  I drink lots of liquids (about 1.5 gallons a day) to help keep the stones at a minimum but I still have lots of stones.  Started taking Chanca Piedra and it has helped me with pain.  I always have stones so I have to wait to have another test to see if it has reduced any stones in size or quantity but it does help my pain and it seems to make me void more, which could also help people with high blood pressure and type 2 diabetes.  
Always check with your doctor and a nutritionalist.",4.7,4,5,5,1,0,2022-01-05,45-54 | 1 to 6 months,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,Manual
1707,Chanca Piedra,WebMD,WebMD 2024,https://reviews.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra?conditionid=&sortval=1&page=1&next_page=true,"I learned about stone breaker from an internet search and bought the tea for kidney health. Then one of my coworkers who is diabetic and had kidney damage from taking Metformin told me that he had gotten a bad report on his kidney function test. So, I told him about the tea and gave him one box of 25 tea bags and told him to drink it all until it was gone. He did and then had another kidney function test. His second test showed that his kidneys were functioning normally. I am a believer.",5.0,5,5,5,1,0,2021-10-11,45-54 | 1 to 6 months,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,Manual
1,Chanca Piedra,WebMD,WebMD starting from most recent at October 14 2021,https://www.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra,"So far, pain that i had for over two years, has subsided. I have gallstones and kidney stones. Trying this rather than removing my gallbladder.",5.0,5,5,5,1,0,2021-09-05,On supplement for less than 1 month,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Manual
3,Chanca Piedra,WebMD,WebMD starting from most recent at October 14 2023,https://www.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra,"I only started taking this supplement today after reading other reviews. I’ve had kidney stones for about 15 yrs now (I’m 45), and I tend to get one every 2-3 months. I just had a CT that shows an 11mm stone. The doc said it’s too big to pass, and I will need surgery again. After 3 lithotripsies and $10k (my part AFTER insurance pays) for previous stones, I’m hopeful that this will work for me. I am so tired of stones and surgeries. I plan to come back here with an update on the results later. Wish me luck!",4.0,4,4,4,1,1,2021-08-17,45-54 | On supplement for less than 1 month,,,,,,,,,,,,,,,,,,,,,,,,Not useful: took first dose the day of the review,,,,,,,,100,Manual
4,Chanca Piedra,WebMD,WebMD starting from most recent at October 14 2024,https://www.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra,I had three kidney stones so far and currently have one right now which I thought was a uti but antibiotics keep making me nauseous till I realized oh yeah this is how I felt before so I took some chanca p and within thirty minutes felt a massive difference. I researched it it’s ok to take with uti antibiotics and couldn’t find much so I chanced it and it went great for me. I recommend this medication to anyone who suffers from kidney stones there is just nothing that works even semi close to how good this one does!,5.0,5,5,5,1,0,2021-06-11,25-34 | On supplement for less than 1 month,1,,,,1,,,,,,,,,,1,1,,,,,,,,30 minutes relief,,,,,,,,100,Manual
5,Chanca Piedra,WebMD,WebMD starting from most recent at October 14 2025,https://www.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra,"For many years Off and On when I'm driving sometimes I could feel an ache in my left lower back. I enjoyed eating chocolates and nuts. I came to realized by research that those are high in oxalate which cause kidney stones to develop. On Dec 2019, One morning I did a bloody pee and I heard a clink in the toilet bowl, so I put on a glove and picked a 7 mm stone. The pain so unbearable . I started googling about kidney stones and I found that Chanca Piedra and Apple cider can help dissolve the stones. I found a local store that carried the product and I bought it and also a bottle of Apple cider vinegar already mixed with honey and turmeric and I took them right away. The next day and for the following next 2 weeks, I was passing stones , 3 or 2 at time. I was able to recover 8 stones, some I could not because I was in public restrooms. It worked for me. I still take one a day to maintain, because almost what you eat are no good for kidney stones. Phosphorus and potassium are big no no, so I try to limit food that contains those. I'm very happy so far so I share this experience with friends who suffer the same.",5.0,5,5,5,1,0,2021-04-29,65-74 | On supplement for less than 1 month,1,,1,,1,1,,,,,,1,,,,,,,,,,,,"Seems like a ton of stones started coming out all of a sudden, which is important evidence of causal role. Also reviewer also took apple cide vinegar so it is unclear what caused what from this review alone.",,,,,,,,225,Manual
6,Chanca Piedra,WebMD,WebMD starting from most recent at October 14 2026,https://www.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra,"I am a 48 year old male and i've had stones since i was in 2nd grade. I've probably passed a hundred stones in my lifetime from the size of grain of sand to a small bullet. For the last ten years or so I generally did not have the agonizing pain associated with stones, but it was replaced with a dull ache that would linger for up to a month and would be triggered by any kind of physical activity. Even walking through the grocery store would set it off. I had a cat scan and it showed 'multiple' stones (generally meaning too many to count) and one very large one that was sitting right at the base of the kidney and potentially move around and block urinary flow. I was going to have lithotripsy again but the doctor was going to force me to have a stent which i don't need due to the size of the stones i've passed my whole life. I bought Stone Breaker off of Amazon and it has literally changed my life. I don't even take it every day, just when I start to feel any kind of burning, pain or any kind of disruption with my urine. I never passed any stone fragments and my urine did not appear cloudy as some of the reviews claimed. All I can say is that the lingering ache that plagued me for years is now gone. I can't believe it's a coincidence. Not sure if it changes the PH of my urine or what. I would be very curious to have another imaging of my kidneys done to see if that large stone is gone or has shrunk in size. One of the very few times in life when I've been pleasantly surprised by a product like this.",5.0,5,5,5,39,10,2020-02-16,45-54 | On supplement for 1 to less than 2 years,1,,1,1,1,1,,,,,,,Better than whatever was tried for whole life before including lithotripsy,,,,,800mg,some very large and lots of them,,,,,very compelling causal role but no objective tests to see what happened beyond pain reduction,,,,1,,,,303,Manual
7,Chanca Piedra,WebMD,WebMD starting from most recent at October 14 2027,https://www.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra,"I started having kidney stones in 2005 at the age of 56 and continued on and off with them for the next 10 years. I was always able to pass them after days of terrible pain and no medication seemed to keep me from getting them. After my last attack in 2015, through research I found chanca piedra. I have taken it almost daily since and haven't had another kidney stone. I can't find any research on taking it daily, but I will continue to do, because I sure do not want to experience the pain of another kidney stone.",5.0,5,5,5,35,5,2020-01-21,65-74 | On supplement for 5 to less than 10 years,1,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,100,Manual
8,Chanca Piedra,WebMD,WebMD starting from most recent at October 14 2028,https://www.webmd.com/vitamins-supplements/ingredientreview-441-chanca-piedra,Kidney stones run in my family. I developed intense pain in my kidney area and every sign pointed to a kidney stone. A friend suggested I take Baseline Nutritionals KGP Flush which contains Chanca Piedra and within hours I started to feel relief. I continued to take it for a week and had zero pain and all my symptoms went away. A doctor told me to take Magnesium daily to help prevent future stones from forming.,5.0,5,5,5,31,1,2019-12-22,45-54 | On supplement for less than 1 month,1,,,,1,,,,,,,,,,1,1,,,,,,,,probably kidney stones but not verified,1,,,,,,,76,Manual
