ID,Medicine,Website,Source,Link,Review title or reviewer name,Review,Stars,People found the review helpful,Date,Reviewer characteristics,Helps overall with kidney stones,Helps overall with gallstones,Says that has suffered from condition for a long time (>1 year),Someone who makes large amounts of stones (>10 total),Asserts significant reduction in pain on net,Provides detailed background,Works as a prophylactic,Mentions breaking of stones,Mentions shrinking of the stones,Mentions softening of stones,Mentions stone gravel/dust/dissolved,"Stone came out soon after taking it (3 day window or ""a few days later"")",Deferences,Medical personel was surprised or skeptical,Significant (>50%) pain relief within 24 hours,Significant (>50%) pain relief within a week,Consumption method,Dose,Stone characteristics,Provides contact info,Admits it sounds non-credible/identifies as a skeptic,Stone passed with no or almost no pain,Provides objective measurements,Comments,Promotes specific brand,Speaks for someone else,Side effects mentioned,Super high quality,Incredible accounts,Unexpected Positives,Length Filtered,Length (words),Classification method
28,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,it Works,"Switched from Stone Free due to price. Still pain free, great product. Works for gallstones too. Physicians need to learn about it.",5,,2019-08-14,Switched to this product from Stone Free because of prices.,1,1,,,1,,,,,,,,cheaper than Stone Free used previously,1,,,,,,,,1,,Physicians need to learn about it.,Alerna Kidney Health,,,,,Works for gallstones too.,0,22,Manual
29,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,Stone breaker,Take these every time I have kidney pain. They work well.,5,,2019-08-03,Taken every time they have kidney pain.,1,,,,1,,,1,,,,,,,,,,,,,,,,Taken every time they has kidney pain.,,,,,,,0,11,Manual
30,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,Best kidney stone prevention!,I used to have have recurring kidney pain. I have had kidney stones and multiple lithotripsy treatments. Since I started this chanca piedra I have no kidney pain or stones form. I take it every day!,5,,2019-07-29,No kidney pain or stones form since start of consuming product.,1,,,,1,,1,,,,,1,better than multiple lithotripsy treatments,,1,1,,taken every day,,,,,,Taken every day.,Alerna Kidney Health (?),,,,,,0,36,Manual
31,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,Seems to keep kidney stones away,I had kidney stones twice in 2 years and none since I started taking these daily about 2.5 years ago. If you have ever had them you will recognize that buying these a few times a year is a small price to pay to avoid that experience again. A lot cheaper than an emergency room visit too.,5,,2019-07-27,Had kidney stones twice across two years.,1,,1,,1,,1,,,,,,cheaper than a visit to the ER.,,,,,taken every day,,,,,,no kidney stones since daily consumption started two and a half years before.,,,,,,,0,57,Manual
32,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,Two thumbs up 👍 👍,I take it to keep my K-Stones in remission. Seems to be working but my next MRI will tell for sure... 😎 👍,4,,2019-07-07,"consumes it to keep kidney stones in remission, and it seems to be working.",1,,,,,,1,,,,,,,,,,,,,,,,MRI,seems to be working,,,,,,,0,23,Manual
33,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,Breaking K. Stones,"I believe it works, and capsules are tasteless.",5,,2019-07-05,they believe it works,,,,,,,,1,,,,,,,,,capsules,,,,,,,favours the capsules for being tasteless.,,,,,,capsules are tasteless,0,8,Manual
34,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,Great for breaking up kidney stones!,"Really helped me pass my kidney stones. It broke them into smaller pieces like sand, so I could pass them without as much pain. Saved me a lot of money over getting a CT scan and surgery. Try it!",5,,2019-04-23,helped with the passage of kidney stones.,1,,,,1,,,1,,,1,,A better option than expensive CT scans and surgeris.,,,,,,The product helped to break the stones into smaller pieces like sand for less painful passage.,,,1,,,,,,,,Spared the greater expense of CT scans and surgeries.,0,39,Manual
35,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,A Healthy And Safe Decision,i guess a 5 star review wont suffice in showing my gratitude towards this company. their product has proven effective in giving me healthy kidneys. in a span of 6 months i probably expelled 3 dangerous stones the size of apple seeds. i know theres more but i believe i have nothing to worry about my urinary system. it’s an investment in my health and i know it’s a wise one. thanks again for making this product available.,5,,2019-03-23,"Expelled 3 stones within 6 months, thinks there could be more inside still (!), feels very grateful towards the company.",1,,,,,,1,,,,,,It is more wise to take this product than not.,,,,,,Three dangerous stones the size of apple seeds within a 6 month timespan. ,,,,,The health benefits are worth the investmet.,Alerna Kidney Health,,,,,Felt less need to worry about general kidney and urinary system health.,0,78,Manual
36,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,Excellent,Excellent way to help with Gallstones and Kidney stones and Liver Health,5,,2019-02-07,Also helps with gallstones and overall liver health.,1,1,,,,,1,,,,,,,,,,,,,,,,,Also helps with gallstones and overall liver health.,,,,,,Also helps with gallstones and overall liver health.,0,12,Manual
37,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,Believe the hype: these DO help,"I am a full time sick person and natural skeptic of EVERY so-called ""instant cure"" and non-med treatment for illnesses. (If I had a dollar for every time someone told me to try yoga for one of my lifelong illnesses, I would have enough money to retire at 32.) However, I also recently added kidney stones to my long list of ailments - they run in my family - and a friend who also suffers INSTANTLY told me to grab this stuff. After weeks of gritting my teeth through the pain and only passing sediment, I gave in and ordered. I took two a day for a week. And then I painlessly passed a stone. WHAT. SERIOUSLY? WHAT??? I've had one flare-up of kidney pain since, took another week course of two pills a day, and passed a bunch of crumbly bits. I'm a believer now. This is one of the very few times I will admit that there IS a non-medication solution to dealing with kidney crap, and this is it.",5,30,2019-01-27,"Is a full-time sick person and skeptic suffering from many ailments, many hereditary; a friend who also suffered stones referred her to this product; had two flare ups of the condition as per the review. ",1,,0,0,1,1,,,,,1,0,surprisingly effective being an alternative treatment.,,,1,pills,(2 pills a day for a week) x 2,"passed like sediment at first before first course, then a stone passed painlessly after first course, then passed as crumbly bits after second course.",,1,1,,was highly skeptical of any alternative medicine or non-medical treatments.,,,,1,,helped to inspire more confidence in non-medical solutions to conditions and health problems.,0,172,Manual
38,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,No stones,"After passing a 5mm uric acid stone, I started taking this several months ago. I have not had a stone since! No more ER visits in the middle of the night.",5,,2018-09-21,"Began consumption of the product several months ago after passing a stone, with no relapses since.",1,,0,0,1,,1,,,,,,,,,,,,one 5mm uric acid stone was passed,,,,,No stones since beginning regime of using this product after passing a stone several months before the date the review was posted on.,,,,,,No more ER visits in the middle of the night.,0,31,Manual
39,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,Keeps the stones away!,Haven’t had a kidney stone in a while. Thank you!,5,,2018-07-14,Has not had a kidney stone in a while.,1,,,,,,1,,,,,,,,,,,,,,,,,Has not had a kidney stone in a while.,,,,,,,0,10,Manual
40,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,This stuff is great...and it works!,"I suffer from a kidney stone disorder called MSK and for years I've looked for something, anything, that could help break down the stones and help them pass easier. I've altered my diet, take suppliments and drink enough water to fill a swimming pool but nothing seemed to help me as much as Chanca Piedra. I happened to stumble upon an article about it and thought I'd give it a try. After going through a few different, pricier, brands I finally found the Alerna brand. This is straight Chanca Piedra. No mixes, no fillers nothing extra to get in the way or give the manufacturer an excuse to charge a ridiculous made up price for something that doesn't work. I've been taking it now for a few months and have noticed a distinct difference in my kidney stone output as well as the way my body handles dealing with a passing stone. They nickname this stuff the ""stonecrusher"" and from what I've seen the shoe fits. Imagine going to the restroom to urinate and peeing out what appears to be a powdered version of what you normally contend with. For the first time cloudy urine didn't mean I had a UTI. It meant my body was flushing out pulverized kidney stone! If you deal with kidney stones at all I believe this product may be beneficial for you. And for the price it's way more affordable then multiple costly trips to the urologist only to be told, ""It looks like you have a kidney stone."" Brilliant!",5,8,2018-07-08,Suffers from a disorder called MSK.,1,,1,,,1,,1,,,1,,"More effective than just altering diet, taking supplements and drinking excessive amounts of water;  also preferable to other similar products from other brands.",,,,,,,1,1,,,,Alerna Kidney Health,,,1,,"Product was more effective than dietary changes, supplements and increased hydration. Worked the best out of all the different brands tried, including more expensive ones. Spared the costly trips to the urologist only to be told something already known!",0,256,Manual
41,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,Stone breaker really works,I bought these for a male relative who unfortunately experiences recurring problems with kidney stones. These worked great and saved us from a trip back to the emergency room. I have read that these can also take care of gallstones and wish we had found the product before my sister had to have her gallbladder removed.,5,7,2018-06-29,reviewed on behalf of a male relative affected by recurring kidney stone problem,1,1,,,,,,1,,,,,preferable to a trip back to the emergency room,,,,,,recurring,,,,,reviewed on behalf of a male relative affected by recurring kidney stone problem; worked great,,1,,,,"Read that the product can also take care of gallstones, after the reviewer's sister already had gall bladder removed though, unfortunately.",0,56,Manual
42,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,Seems to work as intended,Was having kidney stone issues. Started taking these and within the week symptoms lessened until they were gone entirely.,5,2,2018-06-27,Was having kidney stone issues.,1,,,,1,,,,,,,,,,0,1,,,,,,,,Started taking these and within the week symptoms lessened until they were gone entirely.,,,,,,,0,19,Manual
43,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,kidney crusher,this works great for crushing up kidney stones and keeping them crushed so can pass thru easy,5,,2018-06-27,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,0,17,Manual
44,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,This worked so quick. After finding I had stones ...,"This worked so quick. After finding I had stones, I googled what type of product to take that was natural. I tried this and by my appointment the next week. The xrays showed no stones. It truly crushed and dissolved it.",5,2,2018-06-26,"Google yielded this product in the search results for kidney stones treatments, and consumed it for a week by which time the X-Ray at the end of the week showed no stones anymore.",1,,,,,,,1,,,1,,Preferable to 'less natural' products.,,,1,,,,,,1,X-Ray,The X-Rays showed no stones.,,,,,,It worked so quickly.,0,41,Manual
45,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,One Star,Didn’t do a thing for stones or preventing. Calcium oxilate stones.,1,2,2018-05-22,Product ineffective for this reviewer.,0,,,,0,,0,0,0,0,0,0,,,0,0,,,calcium oxilate stones,,,0,,Didn't do a thing for stones or preventing.,,,,,,,0,11,Manual
46,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,Five Stars,So far so good! Hopefully they keep kidney stone away for good!,5,,2018-04-25,"May have had just one 'stone', or English is not first language.",1,,,0,,,1,,,,,,,,,,,,Just one stone? 'Stone' singular.,,,,,So far so good.,,,,,,,0,12,Manual
47,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,Excellent,"Excellent result for my uncle. He has a stone in his kidney, and he is feeling better after one month of Chanca Piedra.",5,1,2018-04-05,"Written on behalf of Uncle, who had excellent results after one month consumption for kidney stone.",1,,,,,,,,,,,,,,,,,Consumed over a one month period.,"Again, just one kidney stone?",1,,,,Uncle felt better after one month of Chanca Piedra.,,1,,,,,0,23,Manual
48,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,break em,my wife swears by it..,5,,2018-03-28,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,1,,,,,0,5,Manual
49,Chanca piedra,Amazon,Alerna: Chanca Piedra 500mg,https://smile.amazon.com/Chanca-Piedra-Phyllanthus-niruri-Veggie/dp/B0743MNB73,Thanks!,Did break down some stones that were stuck! So much better than using a chemical Rx!,5,1,2018-03-01,,1,,,,,,,1,,,,,So much better than using a chemical Rx.,,,,,,the stones were stuck.,,,,,,,,,,,,0,16,Manual
213,Chanca piedra,Amazon,"EU Natural: ""Stone Breaker"" chanca piedra",https://www.amazon.com/STONE-BREAKER-Chanca-Piedra-Gallbladder/dp/B01FERIHYE/,Best Kodnet Stone eradicator ever!,"Have bern using this product for several years now and it has kept my body consistently on the manageable side of not having g large stones as it breaks each one down into tiny partial so it passes through my urinary tract without blocking or causing a major infection. Most imporysny, it keeps me out of the hospital and the need for surgical removing and high $$$ cost of such a procedure. Read up on Chanca Piedra and consider this product. Good for fall stones as well -had mine years ago.",5,,2021-12-24,,1,1,1,,,,1,1,,,1,,Helps to avoid hospital visits and expensive surgical removal procedures.,,,,,,,,0,,,,,,,,,"Good for gallstones, again from personal experience.",,91,Manual
214,Chanca piedra,Amazon,"EU Natural: ""Stone Breaker"" chanca piedra",https://www.amazon.com/STONE-BREAKER-Chanca-Piedra-Gallbladder/dp/B01FERIHYE/,I passed sand and the gallbladder stones (cholesterol stones) disolved,"""Each capsule is formulated for powerful detoxification with Chanca Piedra, Hydrangea, and Celery Seed Extract, potent ingredients for long-term wellness. This powerful combination support kidney, liver and gallbladder function."" It is all true, though my doctor could not believe it in the ""detox of liver and kidney"". It worked for me. It is NOT only chanca piedra, it is the combination with the rest of the plants that helps flush various toxins, calcium and cholesterol deposits. It helped me with BOTH gallbladder stones and kidney stones, taken along with more sugarless lemonade and apple cider vinegar, diluted. It only worked while I stayed away from: Coke, lots of meats, and lots of cheese - and above all SUGAR! A dietary change is essential, though. Otherwise you will go to ER and have surgeries often. This has been a life changer for me for years now.",5,,2021-12-21,"Stated that consuming the product only works or works more effectively in conjunction with a dietary change, ie: no coke, no meat or excessive meat at least, no sugar and no cheese or excessive cheese at least.",1,1,1,,,1,1,,,,1,,Product spares visit to ER and multiple surgical procedures.,1,,,"product taken with sugarless lemonade and apple cider vinegar, diluted",,,,0,,,"Product has been ""a life-changer"".","Stone Breaker chanca piedra, because it is effective because of other included ingredients in conjunction with the chanca piedra.",,,1,,helped with both kidney and gall stones as well,,145,Manual
215,Chanca piedra,Amazon,"EU Natural: ""Stone Breaker"" chanca piedra",https://www.amazon.com/STONE-BREAKER-Chanca-Piedra-Gallbladder/dp/B01FERIHYE/,1st day,"Ok. So I have had a kidney stone 3mm in my left kidney. Last week I was had pain in my groin. Then Saturday and Sunday I was unable to urinate at all. I felt horrible so I soaked in the tub and got on Amazon to see if I could find any type of help. I came across these pills and tea. I bought both and was able to get them same day for free, with Amazon Prime. I took 2 pills and I made 2 cups of tea with the same stone blocking ingredients. I was able to urinate enough to sill a Gatorade cap. Ok, my bladder is feeling a little lighter. It is now the next day, I had a good night sleep and urinating even more. My husband walked in and said wow, I can actually hear you going. I feel so much better, can’t wait to see if this all works out. But currently it’s a win. I have stopped bleeding too. Worth every penny.",5,,2021-12-20,,1,,0,0,1,1,,1,,,,1,,,1,,Taken with chanca piedra tea also,2 pills with 2 cups of tea,3mm in left kidney,,,,,,,,,1,,Stopped bleeding too,,171,Manual
216,Chanca piedra,Amazon,"EU Natural: ""Stone Breaker"" chanca piedra",https://www.amazon.com/STONE-BREAKER-Chanca-Piedra-Gallbladder/dp/B01FERIHYE/,"IT REALLY, REALLY WORKS! + I have a little side advice for you all","Ill be the first to admit i never put any creedance in reviews. ( i know for a fact glowing reviews can be bought ) ...but not THIS MANY! 7000+ and growing?! My story: Im a life long 30+ year diet soda drinker. hardcore...gallon a day easy... i always knew ""the day"" was gonna come...well, last week i got a warning shot. i was sitting completely still and WHAM! a sharp stab hit me in my lower right back side right above the beltline....""what the hell was that?""... i freaked... cut to 5 minutes later im in sheer panic as its not letting up... i told my son GET TO WALLYWORLD NOW and get a heating pad! for those of you that can relate it felt like a muscle spasm...but not...well the cut to the chase was this...i have no medical insurance and frankly im one of ""those people"" who is not about to set foot in a dr's office , especially these days. i needed a solution FAST. so a friend of mine whos been through this said ""yep, kidney stones... "" then starts listing off all the fun im about to have.... Oh, GREEEEAT! as i awaited my sons return i took my friends additional advice and ordered 2 bottles of STONE BREAKER...my son arrived back with the heating pad and it helped... a LOT...seriously... all of you reading this, try it. you will thank me during flair ups. it cuts them WAY down. amazon delivered 2 LONG days later and i started taking them religiously....heres the results: Day 1 - cut pain down 20-30% - pills + heating pad cut flair ups overall time and frequency by 20%. 1 week - pain down 75% and i can sleep at night without being awakened by night 5. 2nd week - Nothing! no pain at all. interestingly i never passed anything ... ( i was checking ) i will continue with this until bottle is used up so my story may differ from yours but as for my opinion, i have never been so impressed with a OTC product in my life. THANK YOU STONE BREAKER you saved me from a hospital bill i could never pay!",5,4,2021-12-10,,1,,0,0,0,1,1,,,,,,Better than paying unaffordable hospital bills!,,1,1,taken alongside using a heating pad for the pain,Daily consumption until bottles are empty.,It seemed as if the stone did not pass in urine (perhaps it dissolved too much).,1,,1,,,stone breaker ,,,1,,,,368,Manual
217,Chanca piedra,Amazon,"EU Natural: ""Stone Breaker"" chanca piedra",https://www.amazon.com/STONE-BREAKER-Chanca-Piedra-Gallbladder/dp/B01FERIHYE/,Seems To Have Worked,"So, I was feeling the onset of a kidney stone for two days and came across ""Stone Breaker"". I thought, after reading many reviews, that I would give this a try. After receiving them, I followed the instructions, and after two days of taking this product, I had NO signs / symptoms of kidney stones aggravating my left kidney. I have not had any relapse since then, and that's been about six weeks ago. I don't know for sure if these did what they're stated to do, but I have no other way to give credit for my stones going away. With that said, I believe they worked and will have some left over incase I have another episode...of which I am prone to have. I'll follow up with this review if I have to take them again.",5,1,2021-11-28,,1,,0,0,1,,,,,,,1,,,,1,,2 days of consumption ,,1,1,1,,,,,,,,,,138,Manual
