source,author_name,age_range,time_on_treatment,condition,review_date,overall_rating,effectiveness,ease_of_use,satisfaction,review_text,helpful_votes,total_votes
Chanca Piedra,Pamela,45-54,5 to less than 10 years,Other,2023-01-25,5,5,5,5,These are amazing..cant recommend enough...the pain subsides within hours...no need for surgery or stents...truly believe in this product for kidney stones..pain or and even gout..as gout is associated pain of uric acid...the miracle pill for all sufferers..?????,1,1
Chanca Piedra,James,65-74,1 to 6 months,Other,2022-12-07,5,5,5,5,I increase dosage from 1600mg to 3200 mg.  I took one pill in the morning and one before going to bed. I also took 0.04mg of flow max  for two weeks to expand the ureter walls. Result: The three stones in my left kidney as well as one blocking my left ureter came out as a reddish brown spot in my toilet. The time from start to reddish brown spot was about 1 and 1/2 weeks. ,1,1
Chanca Piedra,Suki,55-64,1 to less than 2 years,Gallstones,2022-12-02,2.3333333333333335,1,5,1,"Does nothing for the removal of gallstones,I recently had a scan & they are still there,as shown on the scan,so another waste of money,I don't how they can claim that it works or the reviews that I have seen are true or false.",1,1
Chanca Piedra,ChinchMama,45-54,less than 1 month,Other,2022-10-14,5,5,5,5,"After reading about Chanca Piedra, my husband decided to give it a try. He had kidney stones over 10 years ago and started having similar painful attacks 2 days in a row, causing him to be out of work and home in bed.

After 48 hours of use and alot of prayer, the episodes were GONE. Praise God I count it a miracle!!

A bit of advice I read on another site was make sure you buy legitimate Chanca. Some online vendors might not be selling true product. We were able to buy the Chanca at a local health food store and the brand they had available was Whole World Botanicals (I paid for that product and am not being paid to mention that name). 400 mg capsules. 

The guy at the health food store mentioned the tea wouldn't be strong enough. I don't know if that's true, some ppl on these reviews said they used the tea with good results, but that was his opinion [and he had experience with stones]. Maybe it depends on the strength of it? The capsules we bought said ""2:1"".",1,1
Chanca Piedra,Peter G,35-44,less than 1 month,Other,2022-08-08,5,5,5,5,This works very well and is natural and cheap - helped my wife get rid of a 6x8 mm stone! ,1,1
Chanca Piedra,Shar,55-64,less than 1 month,Other,2022-07-20,5,5,5,5,"I had kidney stones at 40 and it was the worst pain I could imagine I am now getting pains constantly and don't want a repeat!  I had an ultrasound confirming I have kidney stones in both kidneys.  
My daughter recommended I try Chanca Piedra as her friend used it and passed her stones easily. 
I have been taking one capsule a day for 5 days and will increase to two capsules today. I didnât wanted to be sure not to have a weird reaction but all seems well  
Today is the first day I have not had stabbing pains and the only thing different is this product. 
My next ultrasound is In a week and I am hoping to hear of reduced size or if I am lucky, that they are gone!",1,1
Chanca Piedra,Admir ,35-44,1 to 6 months,Other,2022-07-07,5,5,5,5,"I had one big sharp kidney stone,so painful and refuse to go out but after taking chanca piedra pills it started to move out and one month later it was out completely,I am so grateful for this medication ",1,1
Chanca Piedra,kit,55-64,1 to 6 months,Other,2022-05-29,2.3333333333333335,1,5,1," I purchased this mainly for gallstones,I know I have small stones as they were seen on a scan,this may be good for kidney stones,but overall I have not seen any improvements or noticed any stones. My gallbladder issues have not changed,I was hoping it would work,but can see me ending up having my gallbladder removed.it was worth a try,but for me there is not enough reviews for this to work for gallstones.I think it is overated.if it was that good,nobody would need to have their gallbladder removed.",1,1
Chanca Piedra,Cheryl B,55-64,6 months to less than 1 year,Other,2022-05-26,5,5,5,5,I have a staghorn kidney stone in the right kidney. I started taking chance piedra when the stone was 7 cm I had X-rays today and the sone is 1.3 cm. I am extremely pleased ???? I will continue taking it till stone is gone and kidney is clear,1,1
Chanca Piedra,Jlj,45-54,1 to 6 months,Other,2022-05-26,5,5,5,5,"I had a 7x3x4mm stone, and the urologist said there was no way I could pass it on my own. I kind of stumbled onto chanca piedra while researching kidney stones, so I ordered capsules. After about a week of taking them, I was surprised to pass the stone, along with another smaller oneâcompletely pain free! I continue to take it, along with ACV, and Iâve had no more pain. ",1,1
Chanca Piedra,Chanca Piedra,75 or over,2 to less than 5 years,Other,2022-01-06,5,5,5,5,The supplement is amazing. Complete dissolved half a dozen stones. Urine turned completely colorless in about 10 days. ,1,1
Chanca Piedra,stone farmer,45-54,1 to 6 months,Other,2022-01-05,4.666666666666667,4,5,5,"I have had kidney stones for over 30 years.  I've had multiple surgeries.  My urologist calls me a stone farmer because I have them so often.  Mine is the result of inverted horseshoe kidneys which cause my kidneys not to drain.  I drink lots of liquids (about 1.5 gallons a day) to help keep the stones at a minimum but I still have lots of stones.  Started taking Chanca Piedra and it has helped me with pain.  I always have stones so I have to wait to have another test to see if it has reduced any stones in size or quantity but it does help my pain and it seems to make me void more, which could also help people with high blood pressure and type 2 diabetes.  
Always check with your doctor and a nutritionalist.",1,1
Chanca Piedra,PlantLover,45-54,1 to 6 months,Other,2021-10-11,5,5,5,5,"I learned about stone breaker from an internet search and bought the tea for kidney health. Then one of my coworkers who is diabetic and had kidney damage from taking Metformin told me that he had gotten a bad report on his kidney function test. So, I told him about the tea and gave him one box of 25 tea bags and told him to drink it all until it was gone. He did and then had another kidney function test. His second test showed that his kidneys were functioning normally. I am a believer. ",1,1
Chanca Piedra,Rand,,less than 1 month,Other,2021-09-05,5,5,5,5,"So far, pain that i had for over two years, has subsided. I have gallstones and kidney stones. Trying this rather than removing my gallbladder.",2,2
Chanca Piedra,Ms.T,45-54,less than 1 month,Other,2021-08-23,5,5,5,5,,1,1
Chanca Piedra,KidStoner,45-54,less than 1 month,Other,2021-08-17,4,4,4,4,"I only started taking this supplement today after reading other reviews. Iâve had kidney stones for about 15 yrs now (Iâm 45), and I tend to get one every 2-3 months. I just had a CT that shows an 11mm stone. The doc said itâs too big to pass, and I will need surgery again.  After 3 lithotripsies and $10k (my part AFTER insurance pays) for previous stones, Iâm hopeful that this will work for me. I am so tired of stones and surgeries. I plan to come back here with an update on the results later. Wish me luck! ",2,2
Chanca Piedra,,,,Hangover,2021-07-28,3,3,3,3,"I have not tried this and there are no option to communicate without picking Something, so I picked the least of health issues and I don't drink. However, it does say to not take Chances Piedra for more the 3 mo. It seems people are not heeding this caution. It interferes with blood clotting and sugar. Just sayin', be careful. ?? If you have a question about interactions, your doctor won't know, so call a pharmacist. They know! Saved me from a deadly reaction when the DDS wouldn't get back to me in time. ?????",1,1
Chanca Piedra,Tay,25-34,less than 1 month,Other,2021-06-11,5,5,5,5,I had three kidney stones so far and currently have one right now which I thought was a uti but antibiotics keep making me nauseous till I realized oh yeah this is how I felt before so I took some chanca p and within thirty minutes felt a massive difference. I researched it itâs ok to take with uti antibiotics and couldnât find much so I chanced it and it went great for me. I recommend this medication to anyone who suffers from kidney stones there is just nothing that works even semi close to how good this one does!,2,2
Chanca Piedra,Fred,65-74,less than 1 month,Other,2021-04-29,5,5,5,5,"For many years Off and On when I'm driving sometimes I could feel an ache in my left lower back. I enjoyed eating chocolates and nuts.  I came to realized by research that those are high in oxalate which cause kidney stones to develop. On Dec 2019, One morning I did a bloody pee and I heard a clink in the toilet bowl, so I put on a glove and picked a 7 mm stone. The pain so unbearable . I started googling about kidney stones and I found that Chanca Piedra and Apple cider can help dissolve the stones. I found a local store that carried the product and I  bought it and also a bottle of Apple cider vinegar already mixed with honey and turmeric and I took them right away. The next day and for the following next 2 weeks, I was passing stones , 3 or 2 at time. I was able to recover 8 stones, some I could not because I was in public restrooms. It worked for me. I still take one a day to maintain, because almost what you eat are no good for kidney stones. Phosphorus and potassium are big no no, so I try to limit food that contains those. I'm very happy so far so I share this experience with friends who suffer the same.",2,2
Chanca Piedra,Morgan,55-64,less than 1 month,Other,2021-03-05,1,1,1,1,I have just bought 240 capsules (2 bottles) and have read that I should not be consuming this product for more than 3 months on a daily basis. Is this accurate ? Would appreciate your kind feedback. Ignore the star ratings above.,0,2
Chanca Piedra,jac,75 or over,less than 1 month,Other,2020-03-07,1,1,1,1,"had stones blasted with no success, the blasting upset my heath rhyme.  took chanca  on Tuesday afternoon on Thursday passed 3 three stones.",23,32
Chanca Piedra,,45-54,1 to less than 2 years,Other,2020-02-16,5,5,5,5,"I am a 48 year old male and i've had stones since i was in 2nd grade. I've probably passed a hundred stones in my lifetime from the size of grain of sand to a small bullet. For the last ten years or so I generally did not have the agonizing pain associated with stones, but it was replaced with a dull ache that would linger for up to a month and would be triggered by any kind of physical activity. Even walking through the grocery store would set it off. I had a cat scan and it showed 'multiple' stones (generally meaning too many to count) and one very large one that was sitting right at the base of the kidney and potentially move around and block urinary flow. I was going to have lithotripsy again but the doctor was going to force me to have a stent which i don't need due to the size of the stones i've passed my whole life. I bought Stone Breaker off of Amazon and it has literally changed my life. I don't even take it every day, just when I start to feel any kind of burning, pain or any kind of disruption with my urine. I never passed any stone fragments and my urine did not appear cloudy as some of the reviews claimed. All I can say is that the lingering ache that plagued me for years is now gone. I can't believe it's a coincidence. Not sure if it changes the PH of my urine or what. I would be very curious to have another imaging of my kidneys done to see if that large stone is gone or has shrunk in size. One of the very few times in life when I've been pleasantly surprised by a product like this.",40,49
Chanca Piedra,jjf255,65-74,5 to less than 10 years,Other,2020-01-21,5,5,5,5,"I started having kidney stones in 2005 at the age of 56 and continued on and off with them for the next 10 years. I was always able to pass them after days of terrible pain and no medication seemed to keep me from getting them. After my last attack in 2015, through research I found chanca piedra. I have taken it almost daily since and haven't had another kidney stone. I can't find any research on taking it daily, but I will continue to do, because I sure do not want to experience the pain of another kidney stone.",36,41
Chanca Piedra,Marco114,45-54,less than 1 month,Other,2019-12-22,5,5,5,5,Kidney stones run in my family. I developed intense pain in my kidney area and every sign pointed to a kidney stone. A friend suggested I take Baseline Nutritionals KGP Flush which contains Chanca Piedra and within hours I started to feel relief. I continued to take it for a week and had zero pain and all my symptoms went away. A doctor told me to take Magnesium daily to help prevent future stones from forming.,32,33
Chanca Piedra,KJD,55-64,less than 1 month,Other,2019-12-15,5,5,5,5,"With in two days of taking daily 800 mg. of Chanca Piedra, relief of pain level was being diminished to a tolerable level. Way less pain and flow of urine was passing a little better. On the seventh day the stone passed with no pain, some blood in toilet , but no pain and urine flow was back to normal.",37,37
Chanca Piedra,angeleven,55-64,10 years or more,Other,2019-08-09,5,5,5,5,"Experienced kidney stones first time in 2003.  Had stent and lithotripsy done.  I only had two stones but the pain was unbelievable.  Stones run in my family. The hospital almost killed me and I knew I never wanted to deal with that kind of thing again.  Less than a year later, I was in massage school and the anatomy instructor who owned the school, mentioned he had had kidney stones issues and that they carried a product in the bookstore called chanca piedra and that it had eliminated his stones.  He said he stayed on the product and never had stones again.  I decided I should start trying it.  I do give myself a rest from time to time.  Recently I noticed similar pain to what I had in 03 and I went back to a daily dose and the pain disappeared.  Also, I am using it for gallbladder issues as well.  I feel it is essential to take breaks for a few months but mostly stay on this if your stone inclined,kidney or gallbladder.  Hope this helps others.  I am now using HerbPharm but was using Swanson.",57,64
Chanca Piedra,Arose,65-74,,Other,2019-03-15,5,5,5,5,"Myself, my daughter and my niece would not be without Chanca Piedra!",23,26
Chanca Piedra,Alyssa,25-34,1 to less than 2 years,Other,2019-01-17,5,5,5,5,"About a year and a half ago I started developing kidney stones by the dozens. I had multiple ultrasounds on my kidneys throughout this time period, at most showing up to 12 stones at once (6 in each kidney) I was told to drink lots of water which didn't do enough and I knew I was going to need surgery to remove the stones. I found this out of desperation as it made me feel really sick to have so many stones. This stuff really works! Unfortunately because my body is producing stones so quickly in large amounts I'm not 100% clear of stones all the time but I'm still greatful because when I do have stones it's mostly 2 in each kidney and they are very very small. I'm constantly taking this stuff, if I stop I will start to feel really bad again. I'm currently trying to figure out why I'm creating these stones when before I never had a stone problem and I suspect a thyroid issue but again I can't express how greatful I am that I found this! I don't know where I would be without it.",79,94
Chanca Piedra,JB,35-44,less than 1 month,Other,2018-12-23,5,5,5,5,"I'm 39, and have a strong international  background. The reason I am telling this is because I can compare medicine and medical systems from different countries, and unfortunately, western medicine always tries to undermine natural medicine, specially in the US. Well, natural medicine was here for millenia, and what used to kill human beings were infections. Everything else was pretty much taken care of with natural medicine. I am not trying to diagnose or treat anyone here, just telling my experience. Chanca piedra works, it doesn't matter what some people say. It has worked for thousands of years. In my particular case, it dissolved and released all of my kidney stones. After 4 weeks of taking the pills my stones are gone for good. I struggled for almost three years thinking I had spine problems, chronical back pain, but no MRI could show any problem. I had no idea what it was. I was in pain. I had no energy. I came across a MD who also studied traditional Chinese and Japanese medicine for over a decade in Japan. He diagnosed me with kidneystones. He also told me to try chanca piedra tea for some weeks, and my pain was gone. The big stones where still there though. That's when he told me to take the herbal pills, which is basically the same plant I was drinking as tea, in pills. 4 weeks later, I had no stones. I can't even tell when I released them. I felt no pain during the processes, and I obviously feel no pain now. Great product, I recommend you take it. I also recommend you look for qualified MD's that are Doctors DESPITE the money and the system they work for. ",91,94
Chanca Piedra,Gopi,35-44,less than 1 month,,2018-11-13,5,5,5,5,"Amazing medicine given by mother nature, I have pelvic chronic pain I taken it scan,CT scan but every thing is normal but pain comes. Finally doctor came to about prostate stone then I came to know about bummiamalki. I had taken this medicine for three days morning and night after meals, I passed 6 mm    stone with less pain, wonderful my pain gone super this is wonderful medicine given by God for all types of stone. I had taken this medicine from nattu marandu kadai.",3,3
Chanca Piedra,Gloria D,55-64,less than 1 month,Other,2018-10-09,5,5,5,5,"I can't believe this actually worked, but it did!  I have been plagued by kidney stones for the past 4 years, when I was diagnosed with innumerable kidney stones in both kidneys.  In May 2018 I had surgery to remove 5 kidney stones that were embedded in my ureter.  When I went back for follow-up, I still had blood in my urine, so more tests (ultrasound, CAT scan, KUB).  Another stone; this one was 8 mm and also in my ureter.  I was not in pain, but the location of the stone was causing my kidney to enlarge, so my doctor determined it would have to be removed and scheduled my surgery for 10/23/18.  The stone had been in the same location for the previous 10 weeks, and wasn't moving at all.  The thought of going through the surgery (and the stent they insert afterwards) was enough to prompt me to start searching for any alternatives.  I came across chanca piedra.  I read so many reviews from people who claimed it worked that I figured I'd try it; I had nothing to lose except $30.  The product I bought was Stone Breaker by EU Natural (and if you are wondering, the answer is NO, I have not been paid to write this review; I've not been in contact with the company that sold it to me, and I paid full price). I took the first dose on Tuesday; taking 2 tablets twice a day.  On Sunday morning, I passed the stone.  I am still in shock.  I almost can't believe it myself.   It came out in 5 pieces, like it was literally broken up.  I know if something seems too good to be true, it usually is.  But I can state, in absolute honesty, unequivocably, that this stuff worked!  I had done nothing different; this was the only change I'd made.  Why this herb isn't better known is beyond me, because it has literally changed my life.  ",118,130
Chanca Piedra,Cowriderkay,55-64,less than 1 month,Other,2018-08-01,5,5,5,5,So grateful I found a natural method to relieve kidney stones! I had a stone impacted in the right ureter. I explained this to a number of physicians but was not taken care of. Chanca Piedra worked so well to finally clear the ureter and some remaining stones in the kidneys. To clear the stones comes with some discomfort but quickly clears and frees the stones! Happy!! ,51,54
Chanca Piedra,,55-64,less than 1 month,Other,2018-06-04,5,5,5,5,"I have had a long history of kidney stones.  A few of the larger ones have been removed by laser and lithotripsy.   I had 4 small stones in my left kidney and one in my right remaining ranging from 3mm to about 5mm.    It was coming up to my yearly review with my doctor.  I had to have an abdominal X-ray prior to my appointment to see if the stones had grown.    So about 8 weeks prior to this I decided to try Chanca Piedra in powder form, which I mixed according to directions,  and drank as a cold tea.   I did this for two weeks.   During the two weeks my joints ached which I felt was a side effect of the mixture and I had occasional back pain, but I was determined to see the two weeks out.   Im so glad I did, as the X-ray showed ZERO stones.  Iâm thrilled to say the least!   Bear in mind that a plain X-ray is not as detailed as a scan however my doc said that if there were any stones remaining that they would be so insignificant (small) they wouldnât be a problem.   I can recommend Chanca Piedra to anyone who would like to give complementary medicine a try before consenting to more invasive measures.   You have nothing to lose except $30 for two packets of CP.        ",61,76
Chanca Piedra,,35-44,5 to less than 10 years,Other,2018-05-23,5,5,5,5,,13,14
Chanca Piedra,,55-64,less than 1 month,Other,2018-05-14,5,5,5,5,"Yesterday I suffered with acute pain from a kidney stone or stones. For 8 hrs straight, I felt like I was in labor, only it was constant. But I did not want to go the hospital route. My daughter found chanca online, and fortunately it was in stock at a health store a few miles away. It was in a tincture with a few other herbs, and called stone breaker. I drank a dropped full in a glass of water, and within minutes was able to lie stiller, and not moan so much! The second dose a few hrs later took almost all of my pain away. The third dose produced about 15 little pieces of broken up kidney stone, with a few more that followed. Miraculous!",65,72
Chanca Piedra,CariJ,65-74,less than 1 month,Other,2018-05-12,5,5,5,5,"2018 5-12: I have had 3 bouts with kidney stones. After my 2nd bout, we ordered this. I woke up to pain yesterday. I passed my stone in one day. In the past, I would be in terrible pain for days. A miracle! Thank you.",26,28
Chanca Piedra,dweh,45-54,6 months to less than 1 year,Other,2018-04-25,5,5,5,5,I had Hep A and Hep B and Doctors always commented when having blood tests about antibodies present .... 12 months of treatment with CP - results came back TOTALLY CLEAR ... Doctor astounded!,2,2
Chanca Piedra,Larae33055,55-64,less than 1 month,Other,2018-04-24,5,5,5,5,I had to kidney stones 4mm the first one I went to the hospital because of the pain and passed it the next day the second one I was so stressed out not knowing when it would come so I ordered chanca Piedra took one in the morning an hour before eating one at supper an hour before eating and later on at night on an empty stomach. 2 weeks later I passed the second one with absolutely no pain. I don't know why you're all just don't order this and give it to their patients instead of everybody going through all this pain.,38,38
Chanca Piedra,jjf255,65-74,2 to less than 5 years,Other,2018-04-16,5,5,5,5,"I have suffered with kidney stones over the last 12 years...with one approximately every year. I was always able to pass them but not without a couple days of excruciating pain. I started taking Herb Pharm chanca piedra liquid about a year and a half ago with my last stone. It passed after a day of taking it and a few days later I passed some very tiny stones. Because of my history of continually making stones, I have been taking chanca piedra as a preemptive measure. I haven't had any stones since. My question is...has anyone also continued to take it after passing a stone? I have searched to try to find out if there are problems in doing this, but can't find the answer.",43,47
Chanca Piedra,None,45-54,5 to less than 10 years,Other,2018-04-14,5,5,5,5,"After years of kidney stones, (3 surgeryÃÂ¢Ã?Ã?s in 2013) I tried Chanca, lemon juice, magnesium, B6 daily supplementals. ItÃÂ¢Ã?Ã?s 2018 and ZERO stones, good liver and kidney function. Something is working and IÃÂ¢Ã?Ã?m not willing to reduce any supplements.",27,29
Chanca Piedra,lumpy,55-64,1 to less than 2 years,Other,2018-03-16,5,5,5,5,,4,4
Chanca Piedra,DanA,65-74,less than 1 month,Other,2018-02-23,5,5,5,5,"I have a 25 yr history of calcium oxolate kidney stones. The most recent episode started, as usual, with blood in the urine and pain. For the following 4 weeks I drank lots of water to help pass the stone. No luck, just pain and occasionally some blood. I then tried ""Stone Breaker"" (chanca piedra liquid extract) made by Herb Pharm. I also started drinking a mild mix of apple cider vinegar,lemon juice and water with the chanca piedra 3X per day. The next day the first stone passed, it looked like a grain of rice. A day later a 6 mm stone passed and within the following 5 days 3 other smaller stones passed. Was it the chanca piedra or the cider/vinegar that did the job? Who knows, but next time I feel like a stone is developing I'll definitely include the chanca piedra formulation. The Stone Breaker extract formulation includes chanca piedra, burdock seed, hydrangea root, and celery seed. I selected the Herb Pharm formulation because it was in extract liquid form and it was the first one I saw on the shelf.",40,45
Chanca Piedra,,65-74,,Other,2017-12-26,5,5,5,5,"None, just learning about product.",6,13
Chanca Piedra,Activa Naturals,55-64,less than 1 month,Other,2017-12-26,5,5,5,5,"I have suffered with kidney stones over 35 years, have luckily passed almost all, but have relied on lots of water and pain meds to help when they strike.  Recently I had a episode and went in for a x-ray and ultra sound and was told I had a 7 mm stone in my left kidney.  I Googled whether this was possible to pass, and found very positive references for chanca piedra.  I ordered a bottle and after 3 pills, less than 24 hours, I passed my stone without any pain.  I am a believer, and would recommend this option to anyone who has suffered and not been able to get satisfaction from their urologist or other providers.  ",45,53
Chanca Piedra,Sandra,55-64,2 to less than 5 years,Other,2017-11-10,5,5,5,5,"Chronic kidney stone disease for 48 years. Over the years I've had lithotripsy several times. Hydromorphone prescribed for pain. I started using chanca piedra a couple years ago. My stones dissolved... literally. On 2 occasions since, I've had minor stone discomfort which resulted in passing a tiny grain of sand size stone in what resembles an egg white like substance surrounding it. It actually looks like a micro-miniature raw egg. I upped my dosage of chanca piedra to 4 capsules daily for about a week. Chanca piedra killed the discomfort and dissolved the stones. I take one capsule per day to maintain kidney health and to prevent stone formation. I love this product. The quality of my life is better because of it.",56,61
Chanca Piedra,p35plr,65-74,1 to 6 months,Other,2017-10-21,3.3333333333333335,3,3,4,"seems to work as stated. Seem to have a touch of diarrehia, will monitor the situation to see if stopping will improve condition",16,17
Chanca Piedra,gus,,1 to less than 2 years,Other,2017-10-12,5,5,5,5,works awesome for gall bladder issues.,9,9
Chanca Piedra,CAS,65-74,less than 1 month,Other,2017-08-27,5,5,5,5,"It made me pass a stone, increased urine flow.  An alternative to Flowmax.",19,19
Chanca Piedra,sevans,45-54,less than 1 month,Other,2017-06-21,5,5,5,5,"I recently had a run in with some kidney stones, I was in so much pain I could not even stand up straight.  Within 8 hours they began moving and I was able to pass them without pain. Definitely a life saver for me.",27,28
Chanca Piedra,me,35-44,less than 1 month,Other,2017-06-20,5,5,5,5,"I was sceptic this would work, but I'm so impressed that I had to review. My last Kidney Stone 2 years ago pain sent me to the hospital. This stone was bigger and I was expecting it, so when I started to feel my kidney ache, I started drinking 12 glasses of  water a day. Cat Scan confirmed the Kidney stone. After 3 days of discomfort I broke down and bought Platinum Naturals Chanca Peidra 500mg. I took 2 in the morning and within 1 hr, the pain was minimal that I was able to go to work. I took 2 more in the afternoon when the pain started to come back.  I did this for 2 days and then cut down to 1 twce a day. Woke up one night with more intense pain (doctor said it would happen as the stone traveled through one more thinner area). 2 x 400 advil and 2 chanca and I woke up feeling much better. After than I just felt like I had a UTI, so I continued to take 1 chanca twice a day for 3 more days. The pain and UTI feeling is gone. I haven't seen a stone pass yet, but all the symptoms are gone. Last time without Chanca, I suffered for 3 weeks till it passed. ",30,34
Chanca Piedra,fred,65-74,less than 1 month,Other,2017-05-01,5,5,5,5,"67 year old male had an incident of very bloody urine.  Had CAT scan which showed a 6mm stone in right kidney.  Started on tamsulosin 0.4 mg/daily. Saw urology and had repeat scan 2 weeks later. Stone moved into ureter. Continue on tamsulosin and started taking Chanca Piedra 400mg, 2 X a day.  After a week increased dosage to 4 x a day.  Scheduled for flexible ureteroscopy in 2 weeks.  Continued meds and did not notice any change in symptoms. (mostly pressure in back and frequency of urination).  Went in for surgery and the stone was gone.  Dr. could see where the ureter wall was inflamed, but stone was gone!  No laser, no shunt!  I'm a happy guy!",29,32
Chanca Piedra,Brenda,55-64,1 to 6 months,Other,2017-03-23,5,5,5,5,"On December 3, 2016 I went to the emergency room in severe pain. They informed me I had gall stones and needed surgery. I refused the surgery and didn't take the med's either. I researched and found Chanca Piedra. Found they had tested the product in 2002. I ordered and took approximately two weeks. Another website recommended a glass of apple juice daily. I made fresh apple juice with two apples daily that I drank and took two of the Chanca Piedra. Well, it is March 23, 2017 and I have two pills left and no pain, at all. I will get re-checked for gall stones. About to order more...Excellent product. I had no side effects!!!  I took Sanar Naturals, Chanca Piedra, 500 mg, 90 tablets from Walmart on-line.",51,62
Chanca Piedra,Kate,,1 to 6 months,Other,2017-02-27,5,5,5,5,"My kidney stones were gone after 2 months of using 3 capsules a day with a glass of water. I didn't feel any pain and was surprised after my doctor told me, that ALL CLEAR.",15,17
Chanca Piedra,,55-64,1 to 6 months,Other,2017-01-05,4,4,4,4,I was experiencing a lot of discomfort left kidney...chronic ache...recent C.A.T. Scan reveled stones....I do not have my right kidney since 2000...removed secondary to loss of function from 15 years of stones...I'm happy to report after one month of disolvatol...I no longer experience pain in my left kidney..I'm ordering my second month of disolvatol NowÃ°???,16,18
Chanca Piedra,Kaptain K,65-74,less than 1 month,Other,2016-11-29,5,5,5,5,Started to feel that kidney stone feeling. Drank  the tea of chanca piedra for a few days and  wa-la passed a good sized stone with no pain.  Doctors don't like hearing this stuff works. But  are they going through the pain?????,22,22
